"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4105","@sanity Login Button Visible","firefox","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","5206","@sanity Forgot Password Link Visible","chromium","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","6611","PIM Menu Visible","webkit","2026-06-01","passed","2026-06-01","Navigation Tests","navigation\navigation.spec.js","",""
"","7799","Verify System Users Header Visible","webkit","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","9553","Search Empty Employee","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","14925","Verify Dashboard Menu Enabled","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","10453","Verify Reset Button Enabled","firefox","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","23976","Verify Admin Page Loaded","chromium","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","1","Mock Employee API Response","chromium","2026-06-01","skipped","2026-06-01","API Mocking Tests","api\api.spec.js","",""
"","7423","Verify Leave Menu Visible","chromium","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","7998","Verify Reset Button Visible","firefox","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","21098","Verify Search Button Visible","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","539","Verify API Returns 404","chromium","2026-05-30","failed","2026-05-30","API Mocking Tests","api\api.spec.js","",""
"","7986","Verify Add Button Enabled","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","11852","PIM Page Visual Validation","chromium","2026-06-01","passed","2026-06-01","Visual Regression Tests","visual\dashboardVisual.spec.js","",""
"","7845","Valid Login","webkit","2026-05-24","passed","2026-05-24","OrangeHRM Login Tests","auth\login.spec.js","",""
"","18244","Verify Employee Name Field Visible","firefox","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","7806","Reset Employee Search Filters","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","9124","Verify Save Button Visible","webkit","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","1","Login Page Visual Validation","chromium","2026-06-01","skipped","2026-06-01","Visual Regression Tests","visual\dashboardVisual.spec.js","",""
"","10401","Search Empty Employee","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","5728","Admin Menu Visible","webkit","2026-06-01","passed","2026-06-01","Navigation Tests","navigation\navigation.spec.js","",""
"","8886","Verify Candidates Tab Visible","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","11846","Verify Search Button Visible","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","7000","Verify Middle Name Field Visible","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","myinfo\myinfo.spec.js","",""
"","376","Verify API Returns Status 200","firefox","2026-05-30","failed","2026-05-30","API Mocking Tests","api\api.spec.js","",""
"","7609","Verify Candidates Tab Visible","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","7809","Verify Search Button Enabled","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","recruitment\recruitment.spec.js","",""
"","5606","@sanity Login Button Visible","chromium","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","9316","Verify Search Button Visible","webkit","2026-06-01","passed","2026-06-01","Admin Module Tests","admin\admin.spec.js","",""
"","7491","@sanity Password Field Visible","chromium","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","1","Login Page Visual Validation","firefox","2026-06-01","skipped","2026-06-01","Visual Regression Tests","visual\dashboardVisual.spec.js","",""
"","12612","Verify Reset Button Visible","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","5529","Verify Employees On Leave Widget Visible","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","9161","My Info Menu Visible","webkit","2026-06-01","passed","2026-06-01","Navigation Tests","navigation\navigation.spec.js","",""
"","6339","Verify Dashboard Menu Enabled","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","0","Add New Employee","webkit","2026-06-01","skipped","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","10934","Verify Time At Work Widget Visible","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","dashboard\dashboard.spec.js","",""
"","11041","Verify First Name Required","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","pim\pim.spec.js","",""
"","6375","@sanity Forgot Password Link Visible","webkit","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
"","1","Verify Entitlements Page","webkit","2026-06-01","skipped","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","6321","Verify Leave Menu Enabled","webkit","2026-06-01","passed","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","0","Verify Leave Table Visible","webkit","2026-06-01","skipped","2026-06-01","Leave Module Tests","leave\leave.spec.js","",""
"","9055","@sanity Login Page Title Validation","firefox","2026-06-01","passed","2026-06-01","Authentication Tests","auth\login.spec.js","",""
